Strain,Sex,Age,Mouse ID,% Viable cells of total events,% B Cells of Viable Cells,% T cells of Viable Cells,% CD4 T Cells of Viable Cells,% CD8 T Cells of Viable Cells,% NK T Cells of Viable Cells,% NK Cells of Viable Cells,% Monocytes of Viable Cells,% Neutrophils (Granulocytes) of Viable Cells,% Eosinophils of Viable Cells,% DC of Viable Cells,% CD25+ of CD4 T Cells,% Plasmacytoid DC,,,,,,,,,,,,
5557,F,8,1,16.40,0.08,0.03,0.00,0.00,0.00,0.65,4.12,8.89,0.24,0.73,,2.24,,,,,,,,,,,,
5557,F,8,2,12.80,0.13,0.09,0.00,0.00,0.00,1.19,3.77,8.42,0.22,0.72,,2.05,,,,,,,,,,,,
5557,F,8,3,12.10,0.09,0.07,0.00,0.01,0.00,1.02,4.65,9.69,0.31,0.78,,2.25,,,,,,,,,,,,
5557,F,8,4,14.30,0.12,0.07,0.00,0.00,0.00,1.10,3.82,6.53,0.26,0.77,,2.07,,,,,,,,,,,,
5557,F,8,5,10.60,0.09,0.03,0.00,0.01,0.00,1.18,4.59,10.80,0.36,1.02,,2.38,,,,,,,,,,,,
5557,F,8,6,18.80,0.07,0.01,0.00,0.00,0.00,1.04,3.76,5.28,0.26,0.90,,1.72,,,,,,,,,,,,
5557,F,8,7,13.60,0.14,0.03,0.00,0.00,0.00,0.79,2.86,6.01,0.21,0.74,,1.53,,,,,,,,,,,,
5557,F,8,8,14.60,0.09,0.02,0.00,0.00,0.00,0.89,3.75,5.88,0.24,0.73,,1.75,,,,,,,,,,,,
5557,F,8,9,17.00,0.10,0.01,0.00,0.00,0.00,0.75,3.65,7.13,0.35,0.79,,1.92,,,,,,,,,,,,
5557,F,8,10,13.20,0.06,0.02,0.00,0.00,0.00,0.89,3.65,8.08,0.26,0.93,,1.79,,,,,,,,,,,,
5557,M,8,1,14.80,0.06,0.01,0.00,0.00,0.00,0.61,2.93,3.46,0.15,0.90,,1.80,,,,,,,,,,,,
5557,M,8,2,11.00,0.08,0.01,0.00,0.00,0.00,0.73,4.72,5.30,0.21,1.77,,2.33,,,,,,,,,,,,
5557,M,8,3,10.40,0.16,0.05,0.00,0.00,0.00,1.27,4.45,5.91,0.25,1.42,,2.82,,,,,,,,,,,,
5557,M,8,4,11.30,0.13,0.02,0.00,0.00,0.00,0.81,5.10,5.91,0.29,1.78,,2.25,,,,,,,,,,,,
5557,M,8,5,13.40,0.11,0.02,0.00,0.01,0.00,1.11,3.39,3.80,0.25,1.01,,2.00,,,,,,,,,,,,
5557,M,8,6,15.50,0.07,0.02,0.00,0.00,0.00,0.83,2.94,4.28,0.19,1.35,,1.36,,,,,,,,,,,,
5557,M,8,7,12.30,0.08,0.00,0.00,0.00,0.00,0.61,3.19,3.49,0.21,1.15,,1.60,,,,,,,,,,,,
5557,M,8,8,13.80,0.06,0.01,0.00,0.00,0.00,0.58,3.43,3.94,0.21,1.10,,1.81,,,,,,,,,,,,
5557,M,8,9,12.90,0.09,0.02,0.00,0.00,0.00,0.54,2.73,3.72,0.20,1.11,,1.67,,,,,,,,,,,,
5557,M,8,10,9.79,0.12,0.03,0.00,0.00,0.00,0.91,4.11,5.52,0.27,1.64,,2.66,,,,,,,,,,,,
5557,F,8,1,7.28,0.08,0.02,0.00,0.00,0.00,1.92,5.79,11.30,0.57,1.28,,1.84,,,,,,,,,,,,
5557,F,8,2,7.19,0.16,0.04,0.00,0.01,0.00,1.77,6.00,13.30,0.46,1.01,,2.02,,,,,,,,,,,,
5557,F,8,3,7.96,0.11,0.03,0.00,0.01,0.00,1.64,5.00,8.81,0.41,0.87,,1.47,,,,,,,,,,,,
5557,F,8,4,9.30,0.05,0.02,0.00,0.00,0.00,1.67,4.24,6.17,0.40,0.86,,1.50,,,,,,,,,,,,
5557,F,8,5,6.61,0.07,0.04,0.00,0.01,0.00,1.67,4.83,11.60,0.44,0.85,,1.48,,,,,,,,,,,,
5557,F,8,6,8.80,0.09,0.02,0.00,0.01,0.00,1.44,5.10,10.60,0.46,0.94,,1.65,,,,,,,,,,,,
5557,F,8,7,11.10,0.08,0.01,0.00,0.00,0.00,1.37,3.56,6.78,0.36,0.96,,1.46,,,,,,,,,,,,
5557,F,8,8,4.09,0.41,0.04,0.00,0.01,0.00,1.99,4.96,12.80,0.64,0.97,,2.21,,,,,,,,,,,,
5557,F,8,9,9.94,0.08,0.02,0.00,0.01,0.00,1.30,4.34,6.82,0.40,1.03,,1.36,,,,,,,,,,,,
5557,F,8,10,7.85,0.12,0.03,0.00,0.00,0.00,1.70,5.09,11.40,0.54,0.73,,1.96,,,,,,,,,,,,
5557,M,8,1,8.38,0.14,0.01,0.00,0.00,0.00,1.44,4.69,5.23,0.30,1.25,,1.88,,,,,,,,,,,,
5557,M,8,2,9.44,0.07,0.00,0.00,0.00,0.00,1.41,3.83,3.70,0.28,1.06,,1.26,,,,,,,,,,,,
5557,M,8,3,7.69,0.11,0.02,0.00,0.01,0.00,1.72,5.70,6.51,0.38,1.24,,1.81,,,,,,,,,,,,
5557,M,8,4,8.57,0.09,0.02,0.00,0.01,0.00,1.46,3.90,5.69,0.29,0.86,,1.42,,,,,,,,,,,,
5557,M,8,5,8.61,0.17,0.02,0.00,0.01,0.00,1.57,3.95,4.25,0.34,1.06,,1.77,,,,,,,,,,,,
5557,M,8,6,7.00,0.13,0.01,0.00,0.00,0.00,1.78,4.70,5.50,0.38,1.03,,1.72,,,,,,,,,,,,
5557,M,8,7,7.87,0.14,0.01,0.00,0.00,0.00,1.40,4.68,4.74,0.34,1.00,,1.82,,,,,,,,,,,,
5557,M,8,8,6.47,0.23,0.01,0.00,0.00,0.00,2.21,4.88,3.47,0.49,1.18,,1.89,,,,,,,,,,,,
5557,M,8,9,8.05,0.13,0.02,0.00,0.00,0.00,1.71,4.02,4.27,0.32,0.91,,1.12,,,,,,,,,,,,
5557,M,8,10,7.93,0.09,0.02,0.00,0.00,0.00,1.80,4.08,3.42,0.33,0.85,,1.55,,,,,,,,,,,,
5557,F,16,1,10.60,0.23,0.01,0.00,0.00,0.00,0.40,4.92,6.99,0.23,1.06,0.00,1.01,,,,,,,,,,,,
5557,F,16,2,10.30,0.18,0.00,0.00,0.00,0.00,0.56,7.72,9.55,0.39,1.30,0.00,1.10,,,,,,,,,,,,
5557,F,16,3,7.48,0.14,0.02,0.00,0.01,0.00,0.49,5.10,9.37,0.23,1.11,0.00,0.81,,,,,,,,,,,,
5557,F,16,4,12.50,0.16,0.00,0.00,0.00,0.00,0.36,3.94,4.53,0.17,1.05,0.00,0.72,,,,,,,,,,,,
5557,F,16,5,9.04,0.14,0.01,0.00,0.00,0.00,0.47,4.75,5.76,0.23,1.17,0.00,1.17,,,,,,,,,,,,
5557,F,16,6,8.76,0.11,0.00,0.00,0.00,0.00,0.43,4.37,5.33,0.18,1.17,0.00,1.16,,,,,,,,,,,,
5557,F,16,7,10.80,0.12,0.00,0.00,0.00,0.00,0.32,3.72,5.64,0.16,0.90,0.00,0.89,,,,,,,,,,,,
5557,F,16,8,14.50,0.10,0.00,0.00,0.00,0.00,0.28,3.06,3.77,0.15,0.84,0.00,0.53,,,,,,,,,,,,
5557,F,16,9,10.50,0.15,0.00,0.00,0.00,0.00,0.39,4.64,6.26,0.22,0.93,0.00,0.82,,,,,,,,,,,,
5557,F,16,10,8.91,0.08,0.01,0.00,0.00,0.00,0.39,4.07,6.67,0.24,1.08,0.00,0.96,,,,,,,,,,,,
5557,M,16,1,8.76,0.15,0.01,0.00,0.00,0.00,0.63,5.83,6.04,0.18,1.45,0.00,1.13,,,,,,,,,,,,
5557,M,16,2,8.01,0.22,0.00,0.00,0.00,0.00,0.69,6.49,4.62,0.13,1.46,0.00,1.48,,,,,,,,,,,,
5557,M,16,3,8.09,0.21,0.00,0.00,0.00,0.00,0.72,5.43,5.47,0.17,1.32,0.00,1.30,,,,,,,,,,,,
5557,M,16,4,8.29,0.17,0.01,0.00,0.00,0.00,0.75,4.93,4.20,0.19,1.49,0.00,1.61,,,,,,,,,,,,
5557,M,16,5,6.85,0.23,0.00,0.00,0.00,0.00,0.88,6.58,6.20,0.25,1.99,0.00,1.64,,,,,,,,,,,,
5557,M,16,6,8.72,0.17,0.00,0.00,0.00,0.00,0.63,5.19,4.68,0.16,1.53,0.00,1.48,,,,,,,,,,,,
5557,M,16,7,6.69,0.18,0.01,0.00,0.00,0.00,0.66,6.28,5.63,0.19,1.62,0.00,1.24,,,,,,,,,,,,
