Strain,Sex,Age,ID,WBC x10^3/uL,RBC x10^6/uL,HGB g/dL,HGBCell g/dL,HCT %,MCV fL,MCH pg,MCHC g/dL,CH pg,CHCM g/dL,RDW %,HDW g/dL,PLT x10^3/uL,PDW% %,MPV fL,MPM pg,%NEUT ,%LYMPH ,%MONO ,%EOS ,%BASO ,%LUC ,%RETIC ,#RETIC 10^9cells/L,CHR pg,CHm pg,#NEUT 10^3cells/ul,#LYMPH 10^3cells/ul,#MONO 10^3cells/ul,#EOS 10^3cells/ul,#BASO 10^3cells/ul,#LUC 10^3cells/ul,,,,,,,,,
5557,F,8,1,0.60,7.45,11.5,10.5,35.6,47.8,15.5,32.4,14.1,29.5,13.9,2.43,1194,46.4,6.3,1.23,84.4,9.1,2.6,3.9,0.0,0.0,4.09,304.7,16.1,14.5,0.51,0.05,0.02,0.02,0,0,,,,,,,,,
5557,F,8,2,0.76,8.04,12.8,11.4,38.8,48.3,15.9,32.9,14.2,29.4,13.5,2.38,1371,48.7,6.5,1.23,77.3,13.7,3.4,3.7,1.2,1.9,3.3,265.1,15.9,14.7,0.58,0.1,0.03,0.03,0.01,0.01,,,,,,,,,
5557,F,8,3,0.55,7.71,12.4,11.1,37.7,48.9,16.1,32.9,14.4,29.4,13.5,2.36,1050,51.4,6.1,1.24,62.8,12.5,2.6,11.1,0.0,11.1,3.75,289,16.2,14.9,0.35,0.07,0.01,0.06,0,0.06,,,,,,,,,
5557,F,8,4,0.47,7.39,11.8,10.6,35.9,48.6,16.0,32.9,14.3,29.5,14.5,2.42,1357,48.3,6.2,1.25,77.0,13.7,4.4,2.8,1.0,2.1,4.7,347.4,16.5,14.9,0.36,0.06,0.02,0.01,0,0.01,,,,,,,,,
5557,F,8,5,0.52,7.69,12.5,11.0,36.8,47.9,16.2,33.9,14.3,29.9,13.5,2.43,657,43.6,5.2,1.24,77.1,10.1,4.0,8.6,0.4,0.2,4.15,319.1,16.3,14.8,0.4,0.05,0.02,0.04,0,0,,,,,,,,,
5557,F,8,6,0.40,8.05,12.6,11.4,37.9,47.1,15.6,33.1,14.2,30.2,13.6,2.40,1117,47.0,6.1,1.23,75.1,7.7,2.9,12.3,0.3,1.7,3.91,314.9,16.2,14.7,0.3,0.03,0.01,0.05,0,0.01,,,,,,,,,
5557,F,8,7,0.53,7.16,11.5,10.3,34.4,48.1,16.0,33.3,14.3,29.8,13.2,2.33,755,40.1,5.4,1.25,76.9,10.1,3.3,7.4,0.4,2.3,3.49,250.2,16.3,14.9,0.41,0.05,0.02,0.04,0,0.01,,,,,,,,,
5557,F,8,8,0.62,6.65,11.0,9.6,31.3,47.1,16.5,35.1,14.4,30.7,13.7,2.49,748,39.8,5.1,1.24,67.2,19.7,8.6,3.1,0.2,1.4,3.53,234.7,15.8,14.9,0.41,0.12,0.05,0.02,0.00,0.01,,,,,,,,,
5557,F,8,9,0.75,7.13,11.7,10.3,34.1,47.9,16.4,34.3,14.5,30.3,13.5,2.51,902,40.2,5.3,1.24,62.8,12.2,5.3,16.4,0.9,3.3,3.60,256.8,16.2,15.0,0.47,0.09,0.04,0.12,0.01,0.02,,,,,,,,,
5557,F,8,10,0.56,7.91,12.4,11.4,38.7,49.0,15.7,32.0,14.3,29.3,13.7,2.43,949,38.8,5.5,1.24,77.2,12.7,2.8,6.9,0.0,0.4,3.56,281.2,16.0,14.8,0.43,0.07,0.02,0.04,0.00,0.00,,,,,,,,,
