Strain,Sex,Age,ID,ALB g/dL,ALT IU/L,BUN mg/dL,CAL mg/dL,CHOL mg/dL,GLU mg/dL,HDLX mg/dL,PHOS mg/dL,T4 ug/dL,TP g/dL,TRIG mg/dL,NA mmol/L,K mmol/L,CL mmol/L,NEFA mEq/L,LDLD mg/dL,CO2 mmol/L,,
5557,F,8,1,2.8,21,20.0,9.2,72,236,53.6,7.5,5.9,4.5,100,153.0,3.65,115.3,1.65,,,,
5557,F,8,2,2.9,20,20.0,9.6,65,223,52.3,6.5,6.4,4.7,74,149.9,4.11,114.5,1.44,,,,
5557,F,8,3,3.0,22,23.0,9.4,76,253,60.0,6.8,6.6,4.8,101,151.7,3.67,115.8,1.85,,,,
5557,F,8,4,3.0,23,17.0,9.2,69,280,57.3,6.1,6.1,4.7,76,150.8,3.93,115.6,1.62,,,,
5557,F,8,5,2.9,22,20.0,9.5,70,260,57.8,7.3,6.1,4.6,79,150.6,4.07,115.8,1.49,,,,
5557,F,8,6,2.8,24,20.0,9.2,58,282,48.6,7.2,5.3,4.4,80,149.5,4.09,114.8,1.38,,,,
5557,F,8,7,3.0,17,17.0,9.3,71,248,58.2,6.3,6.6,4.7,60,149.6,4.06,114.2,1.2,,,,
5557,F,8,8,3.0,20,17.0,9.2,67,266,57.8,5.5,6.0,4.8,62,150.4,4.02,116.8,1.18,,,,
5557,F,8,9,2.9,23,18.0,9.2,72,262,58.5,6.0,5.9,4.6,88,150.3,3.9,116.2,1.5,,,,
5557,F,8,10,3.0,24,18.0,9.0,68,248,54.3,6.1,6.4,4.8,78,149.4,4.22,116.5,1.49,,,,
5557,F,8,11,3.0,19,21.0,9.4,69,207,56.2,6.0,5.0,4.9,74,154.3,4.34,117.4,0.87,,,,
5557,F,8,12,3.0,,22.0,9.4,67,198,,7.3,5.9,4.8,,,,,,,,,
5557,F,8,13,3.0,29,18.0,10.2,75,283,60.5,6.9,5.3,4.9,90,150.8,4.50,125.6,1.25,,,,
5557,F,8,14,3.1,26,22.0,10.0,68,216,55.5,8.2,5.2,4.9,95,157.0,3.94,119.0,0.98,,,,
5557,F,8,15,3.0,33,19.0,9.7,63,285,51.8,6.0,5.6,4.8,90,154.6,4.13,116.5,0.95,,,,
5557,F,8,16,3.0,33,21.0,9.2,68,205,55.2,8.7,5.9,4.9,90,154.1,4.56,115.0,0.82,,,,
5557,F,8,17,3.0,20,19.0,9.4,76,262,61.5,7.8,5.1,4.8,103,158.4,4.64,119.7,0.84,,,,
5557,F,8,18,3.0,22,18.0,9.2,72,235,56.2,6.5,6.4,4.8,83,152.0,4.53,116.5,0.89,,,,
5557,F,8,19,3.0,43,20.0,9.9,65,239,52.6,7.3,5.6,4.8,98,153.0,5.08,118.9,0.74,,,,
5557,F,8,20,3.3,22,17.0,9.9,71,199,58.2,6.7,6.2,5.2,56,158.6,5.11,119.8,0.70,,,,
5557,F,8,21,3.1,20,27.0,10.2,80,199,56.5,8.5,6.8,5.0,125,150.8,4.41,119.0,0.71,5,22.3,,
5557,F,8,22,3.1,27,22.0,10.4,84,222,59.9,8.8,5.6,5.2,162,147.1,3.98,117.0,1.67,3.67,20,,
5557,F,8,23,3.2,25,24.0,10.3,80,166,55.4,9.3,6.1,5.2,174,147.5,3.99,117.8,1.18,4.47,19.2,,
5557,F,8,24,3.0,21,27.0,10.0,77,113,56.2,11.1,5.0,4.8,186,143.7,4.36,118.2,1.18,3.32,15.1,,
5557,F,8,25,3.1,23,24.0,10.4,83,124,58.2,12.7,5.0,5.0,194,145.7,4.29,115.3,0.98,3.84,20.1,,
5557,F,8,26,3.2,26,23.0,10.2,79,231,59.5,8.5,6.1,5.2,122,149.3,4.71,122.2,0.94,3.43,20.6,,
5557,F,8,27,3.2,20,21.0,10.1,84,229,61.4,7.2,6.2,5.3,102,157.3,3.62,113.7,1.5,3.85,20.7,,
5557,F,8,28,3.1,20,22.0,10.0,88,227,65.7,7.6,5.5,5.1,126,156.8,3.72,113.7,1.22,3.76,20,,
5557,F,8,29,3.3,24,25.0,10.7,89,179,62.5,9.0,6.5,5.4,188,147.7,3.94,120.9,1.6,4.02,17.3,,
5557,F,8,30,3.3,20,25.0,10.4,93,205,66.9,8.6,5.7,5.4,170,143.8,3.57,117.5,1.52,4.47,18.7,,
5557,F,8,31,2.9,16,21.0,9.5,62,205,45.1,7.9,5.0,4.6,132,156.2,3.56,115.6,1.41,3.21,16.6,,
5557,F,8,32,3.1,25,26.0,10.0,72,180,53.2,8.6,5.6,5.0,109,143,3.99,119.9,1.57,3.86,16.9,,
5557,F,8,33,3.1,24,25.0,9.9,75,134,54.9,9.2,6.4,5.1,120,158,4.03,115.3,1.33,4.5,16.9,,
5557,F,8,34,3.1,20,30.0,10.6,77,134,57.0,12.5,6.3,5.2,180,144.6,4.47,115.0,1.05,3.09,17.7,,
5557,F,8,35,3.2,25,20.0,10.2,90,241,65.1,8.1,6.5,5.3,121,143,4.41,116.4,1.47,4.45,17.3,,
5557,F,8,36,3.1,46,21.0,10.3,78,230,57.9,9.3,7.9,5.1,151,144.4,4.76,117.7,1.74,3.52,19.1,,
5557,F,8,37,3.1,18,17.0,10.4,77,248,58.3,9.2,7.8,5.1,62,143.9,5.08,122.6,0.74,4.35,19.1,,
5557,F,8,38,3.1,22,20.0,10.2,80,229,56.9,10.3,6.9,5.1,89,141,4.51,115.8,1.2,5.43,17.7,,
5557,F,8,39,3.2,29,21.0,10.5,90,176,64.7,11.1,6.2,5.4,195,143.1,4.39,117.7,1.3,3.98,18.7,,
